dataset,synth,regime,n,axis,eps_frac_of_worst,eps_abs,worst_degradation,alpha_star,T,n_seeds
adult,gaussian_copula,fixed,8000,w1,0.1,0.00295832963864821,0.029583296386482095,0.8456260719540895,12,3
adult,gaussian_copula,fixed,8000,w1,0.25,0.007395824096620524,0.029583296386482095,0.3230480261887233,12,3
adult,gaussian_copula,fixed,8000,tv_cat,0.05,0.0010360693638290033,0.020721387276580065,0.8483734489976845,12,3
adult,gaussian_copula,fixed,8000,tv_cat,0.1,0.0020721387276580066,0.020721387276580065,0.4553580097821893,12,3
adult,gaussian_copula,fixed,8000,tv_cat,0.25,0.005180346819145016,0.020721387276580065,0.3408456797241808,12,3
adult,gaussian_copula,fixed,8000,corr_frob,0.05,0.003924368223323156,0.07848736446646312,0.5750454984810551,12,3
adult,gaussian_copula,fixed,8000,corr_frob,0.1,0.007848736446646312,0.07848736446646312,0.47999652657689335,12,3
adult,gaussian_copula,fixed,8000,corr_frob,0.25,0.01962184111661578,0.07848736446646312,0.3749099693606276,12,3
adult,gaussian_copula,fixed,8000,cat_support,0.05,0.00670103092783505,0.134020618556701,0.9024999999999996,12,3
adult,gaussian_copula,fixed,8000,cat_support,0.1,0.0134020618556701,0.134020618556701,0.8049999999999994,12,3
adult,gaussian_copula,fixed,8000,cat_support,0.25,0.03350515463917525,0.134020618556701,0.4221153846153848,12,3
adult,gaussian_copula,fixed,8000,tstr_auc,0.05,0.018321992877239405,0.3664398575447881,0.8866952557536322,12,3
adult,gaussian_copula,fixed,8000,tstr_auc,0.1,0.03664398575447881,0.3664398575447881,0.7733905115072643,12,3
adult,gaussian_copula,fixed,8000,tstr_auc,0.25,0.09160996438619702,0.3664398575447881,0.42697647117529963,12,3
adult,gaussian_copula,fixed,8000,c2st_auc,0.05,0.0005322288810262809,0.01064457762052562,0.9559134359662446,12,3
adult,gaussian_copula,fixed,8000,c2st_auc,0.1,0.0010644577620525619,0.01064457762052562,0.9118268719324891,12,3
adult,gaussian_copula,fixed,8000,c2st_auc,0.25,0.002661144405131405,0.01064457762052562,0.779567179831223,12,3
