dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error,run_ts
bank-marketing,gaussian_copula,fixed,0.05,0,2,2000,14.1349,40.18,False,0.0346475087750838,1.195922415364573,0.0542819639238029,0.0328923538157199,0.2827685921513378,1.0,0.89575,0.9345539837741264,0.6639250934822262,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.05,0,3,2000,14.5418,39.8,False,0.0427450295886231,1.2284293885964834,0.0764318538218379,0.0360696794328332,0.363383104106026,1.0,0.88025,0.9341417440898434,0.6402509194342416,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.05,0,4,2000,13.8605,39.8,False,0.035753498729773,1.168947650872622,0.0641226971697073,0.0350475198741813,0.4169093720487141,0.9772727272727272,0.8765,0.9497432546698767,0.6124274839520699,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.05,0,5,2000,16.1195,39.8,False,0.0275632461850475,1.0898312783456303,0.0641139457121841,0.0362712411073021,0.4381736368594124,1.0,0.8755,0.9455036844891392,0.6071465519588358,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.05,0,6,2000,15.2404,39.8,False,0.0303900308177018,1.1886815394058778,0.0726601570677379,0.0401842370403135,0.4650789088896636,0.9772727272727272,0.8625,0.951084953176486,0.6331372741659989,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.05,0,7,2000,15.7499,39.8,False,0.045161994103659,1.1447612355430918,0.0765407417050863,0.0445901126715568,0.4617144929614423,0.9545454545454546,0.85825,0.9525385926420792,0.6349369623810239,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.05,0,1,2000,15.6211,39.57,False,0.0427993086514858,0.9258567166534046,0.0543555383737697,0.026570545664541,0.2309921296975051,1.0,0.88475,0.9190476381404904,0.6307346122751426,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.02,0,5,2000,15.1958,39.8,False,0.0442685281042942,0.9571201445694814,0.0710794156078268,0.029901556759679,0.4319745465573206,1.0,0.88125,0.9483504361249148,0.6377307167384971,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.02,0,4,2000,14.2329,39.8,False,0.0395802438050128,0.9018110018152856,0.0608556551405344,0.0297384287416909,0.4037388378623269,1.0,0.86625,0.9488511953756094,0.6181623625583413,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.02,0,3,2000,13.9738,39.8,False,0.0400836969677688,0.9103155798005416,0.0637841881989611,0.0282638382051187,0.3617412377103907,1.0,0.876,0.9381344947104046,0.6073701517377218,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,1,2000,13.7331,39.57,False,0.0494085046133856,1.063074172244891,0.0611616668829013,0.0269939793824566,0.2565209760789267,1.0,0.89925,0.911115060314074,0.6407310848673021,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,2,2000,14.783,40.18,False,0.0409215436374119,1.0358882483612393,0.0543895654725294,0.0257941255974541,0.3284914728132401,1.0,0.906,0.93464627771837,0.6601564488235858,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,3,2000,15.6614,39.8,False,0.0452120443696392,0.9995825453022106,0.0650872983964214,0.0361766682639733,0.3822194756648309,1.0,0.89575,0.9493803440226032,0.6932254830358907,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,4,2000,16.7887,39.8,False,0.0283754695785746,1.097046523867792,0.0555376786930917,0.0313092754371091,0.4278254786095887,1.0,0.8855,0.9495587320314388,0.6229343061718984,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,5,2000,14.5677,39.8,False,0.035362153294761,0.9550150997382966,0.0560069496222838,0.03874355241009,0.4531583164491335,1.0,0.86025,0.9517002363881024,0.662984234380863,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,6,2000,15.8859,39.8,False,0.029160239758512,0.9680227162059474,0.0526975743175014,0.0395785383415041,0.4742233482936347,1.0,0.84575,0.957836222741626,0.5913686815898903,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,7,2000,14.2579,39.8,False,0.0452731735831969,1.0538078929463053,0.0684082931029232,0.0364982245321734,0.4812175214845291,1.0,0.8625,0.957571081417704,0.5680397910543518,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,8,2000,14.9343,39.8,False,0.0595329788881924,0.8629406147246202,0.076090762201088,0.0402360696425719,0.4990307479377211,1.0,0.855,0.9595931905597912,0.523811541725802,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,9,2000,14.668,39.8,False,0.0457052611657617,0.9345326412299784,0.0737398434912982,0.0461330003563222,0.4896172139759976,0.9772727272727272,0.8595,0.9616266160853688,0.609035609063781,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,10,2000,15.094,39.8,False,0.0670403461272538,0.9680227501735456,0.0987362411911679,0.0543795139272857,0.4788480985884197,0.9772727272727272,0.84275,0.9635799753008764,0.5528010340749965,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,11,2000,14.6001,39.8,False,0.0549354463257894,1.0340111473523954,0.0851908830836317,0.0531939990416159,0.4847164509083985,0.9772727272727272,0.85375,0.961577386048434,0.5516885393572305,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,12,2000,15.2332,39.8,False,0.0931165516513425,1.048297473159279,0.1124367695817177,0.0585378070207772,0.48063716162137,0.9772727272727272,0.86075,0.9609691588421114,0.5752289559938116,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.02,0,0,2000,16.9364,39.34,True,0.0173965683858213,1.0395661345971443,0.0330623055426054,0.0182281076830452,0.1450663447476722,1.0,0.905,0.8984456641838596,0.734570372378266,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.02,0,1,2000,14.5829,39.57,False,0.0324350982369392,0.9384313030463852,0.048023919240239,0.0346846302235,0.2313905912723186,1.0,0.8895,0.9209415005613608,0.6515567942254678,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
